Date,Open,High,Low,Close,Volumne
7/16/2010 9:48:00 AM,552.69,553.6,548.73,552.09,3217900
7/16/2010 9:46:00 AM,547.33,554.75,544.53,549.85,8841900
7/16/2010 9:44:00 AM,533.75,536.9,527.27,529.91,6100400
7/16/2010 9:42:00 AM,532.46,535.58,530,535.32,3258400
7/16/2010 9:40:00 AM,524.39,527.46,521.38,526.11,3037400
7/16/2010 9:38:00 AM,523.42,525.76,519.32,524.04,3322200
7/16/2010 9:36:00 AM,516.65,521.51,514.5,516.25,2738100
7/16/2010 9:34:00 AM,519.57,523.25,513.34,514.18,4303800
7/16/2010 9:32:00 AM,499,518.99,497.81,517.54,4874200
7/16/2010 9:30:00 AM,491.7,499.37,491.7,498.74,2732300
7/16/2010 9:28:00 AM,487.65,492.43,483.34,488.52,2144600
7/16/2010 9:26:00 AM,483.74,491.74,482.6,484.58,2600800
7/16/2010 9:24:00 AM,493,496.47,487,487.2,2813200
7/16/2010 9:22:00 AM,500,500.14,487.24,495.85,3141700
7/16/2010 9:20:00 AM,499.53,499.75,493.01,498.53,2099200
7/16/2010 9:18:00 AM,494.84,501.5,493.3,498.53,1839300
7/16/2010 9:16:00 AM,494.29,499.93,492,492.48,2049600
7/16/2010 9:14:00 AM,500.47,501.41,493,496.77,2527600
7/16/2010 9:12:00 AM,500.78,507,497.71,498.46,2704200
7/16/2010 9:10:00 AM,500.92,501.99,497.81,499.06,3041200
7/16/2010 9:08:00 AM,487.74,498.9,486.22,497,2116400
7/16/2010 9:06:00 AM,496.77,496.98,491.23,491.46,3283500
7/16/2010 9:04:00 AM,490.57,497.37,487.15,491.72,4483100
7/16/2010 9:02:00 AM,479.8,489.37,478.48,488.29,2585300
7/15/2010 4:00:00 PM,475.08,478.91,472.71,477.54,2398100
7/15/2010 3:58:00 PM,470.51,476.8,470.05,475.12,1975700
7/15/2010 3:56:00 PM,470.4,473.3,467.63,472.14,1902900
7/15/2010 3:54:00 PM,466.65,470.94,462,470.94,2534600
7/15/2010 3:52:00 PM,459.06,466.27,458.8,463.97,2195400
7/15/2010 3:50:00 PM,464.29,466.99,455.84,458.62,2656700
7/15/2010 3:48:00 PM,457.57,462.6,455.78,461.3,1499200
7/15/2010 3:46:00 PM,455.82,458.25,455,457.52,1646200
7/15/2010 3:44:00 PM,455.82,458.33,452.59,453.01,1804800
7/15/2010 3:42:00 PM,459.68,466.82,454.42,455.76,2594900
7/15/2010 3:40:00 PM,459.79,461.86,458,461.67,1957900
7/15/2010 3:38:00 PM,469.26,472.37,463.38,464.75,1771600
7/15/2010 3:36:00 PM,468.58,468.58,460.73,466.06,1998900
7/15/2010 3:34:00 PM,472.76,473,466.7,468,1987800
7/15/2010 3:32:00 PM,469.13,474.35,468.72,471.37,2341000
7/15/2010 3:30:00 PM,467.35,470.09,464.42,468.73,2453400
7/15/2010 3:28:00 PM,465.54,466.09,462.65,465.24,3560500
7/15/2010 3:26:00 PM,452,462.18,451.23,460.41,3998900
7/15/2010 3:24:00 PM,439.99,445,438.56,443.97,2255000
7/15/2010 3:22:00 PM,445.1,447.7,442.32,445.28,2351100
7/15/2010 3:20:00 PM,451.5,451.99,443.12,444.89,2620200
7/15/2010 3:18:00 PM,462.78,463.18,456.89,460,1675100
7/15/2010 3:16:00 PM,462.15,464.72,458.91,462.28,1995200
7/15/2010 3:14:00 PM,455.41,461.75,454.92,458.58,2341400
7/15/2010 3:12:00 PM,453.67,457.23,452.38,453.94,1712500
7/15/2010 3:10:00 PM,455.14,458.41,453.79,456.61,1742000
7/15/2010 3:08:00 PM,455.67,459.42,454.99,457.1,2543100
7/15/2010 3:06:00 PM,454.3,454.88,448.53,450.36,2110900
7/15/2010 3:04:00 PM,456,456.91,447.88,451.14,2342000
7/15/2010 3:02:00 PM,449.37,454,448.43,453.73,2389800
7/15/2010 3:00:00 PM,448.74,453.9,447.64,452.21,2590300
7/15/2010 2:58:00 PM,449.98,452.7,442.43,443.05,2860400
7/15/2010 2:56:00 PM,442.61,451.47,442.61,445.64,3198600
7/15/2010 2:54:00 PM,437.23,437.8,431.89,436.24,1987000
7/15/2010 2:52:00 PM,441,442.81,436.1,439.85,2532500
7/15/2010 2:50:00 PM,446.04,446.75,437.61,444.8,2504400
7/15/2010 2:48:00 PM,435.81,450.49,435,446.72,3626900
7/15/2010 2:46:00 PM,428.68,441.21,425.5,437.34,3478200
7/15/2010 2:44:00 PM,428,430.2,423.5,427.69,2586700
7/15/2010 2:42:00 PM,430.94,431.9,425.72,427.9,2968200
7/15/2010 2:40:00 PM,429.88,432.85,426.25,430.17,3153500
7/15/2010 2:38:00 PM,433,435.48,426.7,430.25,6854100
7/15/2010 2:36:00 PM,436.68,445.75,434.1,442.6,6554500
7/15/2010 2:34:00 PM,429.66,438.68,428.49,438.17,3777000
7/15/2010 2:32:00 PM,423.71,426.73,420.87,424.69,2895800
7/15/2010 2:30:00 PM,416.17,424.52,415.18,424.3,4045700
7/15/2010 2:28:00 PM,409.58,417.37,408.7,414.4,2926600
7/15/2010 2:26:00 PM,406.12,414.45,405.8,410.39,3275600
7/15/2010 2:24:00 PM,400,406,398.06,402.49,3441200
7/15/2010 2:22:00 PM,408.24,409.19,395.98,396.63,3259300
7/15/2010 2:20:00 PM,406.5,410.64,401.66,409.61,2262600
7/15/2010 2:18:00 PM,415.41,415.41,406.81,408.49,2517600
7/15/2010 2:16:00 PM,424.2,426.4,418.15,418.99,2310800
7/15/2010 2:14:00 PM,424,427.21,418.22,421.59,2593900
7/15/2010 2:12:00 PM,426,427.8,422.24,424.14,2169300
7/15/2010 2:10:00 PM,413.68,428.23,413.11,425.32,3256700
7/15/2010 2:08:00 PM,407,415.9,406.51,415.77,3044500
7/15/2010 2:06:00 PM,408.74,412.23,406.56,409.29,2457800
7/15/2010 2:04:00 PM,406.65,408.99,402.55,405.68,2899600
7/15/2010 2:02:00 PM,416.95,417.49,401.89,407.35,4124400
7/15/2010 2:00:00 PM,418.21,420.46,414.58,420.09,4259100
7/15/2010 1:58:00 PM,415.68,418.69,413,414.06,3085200
7/15/2010 1:56:00 PM,416.19,419.72,411.56,415.16,3490100
7/15/2010 1:54:00 PM,419.31,421.09,415.42,416,3049700
7/15/2010 1:52:00 PM,421.5,421.5,414,416.77,3736900
7/15/2010 1:50:00 PM,426.86,427.7,421.21,424.84,2918400
7/15/2010 1:48:00 PM,431.77,433.73,428.37,429,2865200
7/15/2010 1:46:00 PM,436.23,437.89,426.67,432.6,3358900
7/15/2010 1:44:00 PM,438.58,440.5,431.76,435.62,3254900
7/15/2010 1:42:00 PM,439.5,440.92,434.12,438.77,3098700
7/15/2010 1:40:00 PM,445.07,447.34,439.46,444.32,3680800
7/15/2010 1:38:00 PM,435.3,441.24,434.5,440.28,3638100
7/15/2010 1:36:00 PM,426,432.46,424,431.65,3532800
7/15/2010 1:34:00 PM,426.25,429.96,423.4,428.4,2623600
7/15/2010 1:32:00 PM,418.73,429.6,418.53,426.56,3322400
7/15/2010 1:30:00 PM,412.11,417.23,410.7,417.23,2648200
7/15/2010 1:28:00 PM,408.68,411.62,404.61,410.4,2668800
7/15/2010 1:26:00 PM,405.64,411.86,404.81,405.56,3034300
7/15/2010 1:24:00 PM,391.95,405,390,404.36,3104500
7/15/2010 1:22:00 PM,396.66,398.65,392,393.5,1718600
7/15/2010 1:20:00 PM,396.3,402.84,393.84,396.5,2719800
7/15/2010 1:18:00 PM,402.09,405.67,395,397.18,2284000
7/15/2010 1:16:00 PM,396.1,401.64,393,398.88,2837500
7/15/2010 1:14:00 PM,394.73,397.31,385.4,396.84,3351700
7/15/2010 1:12:00 PM,391.1,394.11,389.09,390,3008700
7/15/2010 1:10:00 PM,388.8,392.21,384.69,387.5,2937000
7/15/2010 1:08:00 PM,394.09,396.39,388.35,389.54,2842800
7/15/2010 1:06:00 PM,410.01,410.99,395.11,399.01,3790800
7/15/2010 1:04:00 PM,402.8,412,401.2,407.98,2559300
7/15/2010 1:02:00 PM,402.85,410.13,395,407.33,3865100
7/15/2010 1:00:00 PM,404.1,404.99,392.5,396.61,2999800
7/15/2010 12:58:00 PM,406.79,408.28,401,403.47,2632900
7/15/2010 12:56:00 PM,399.98,405,397.25,402.99,2400800
7/15/2010 12:54:00 PM,398.17,402.4,394.79,401.98,3203000
7/15/2010 12:52:00 PM,395.03,397.59,391.55,393.69,2427700
7/15/2010 12:50:00 PM,395.76,403.75,394.8,395.97,4355700
7/15/2010 12:48:00 PM,385.97,394.97,385.83,391.47,3610000
7/15/2010 12:46:00 PM,383.75,389.05,381.54,383.71,2943600
7/15/2010 12:44:00 PM,384.34,389.49,382.75,385.95,2290600
7/15/2010 12:42:00 PM,386.05,393.18,380.5,389.49,3385400
7/15/2010 12:40:00 PM,387.51,389.75,381.11,384.69,2609000
7/15/2010 12:38:00 PM,381.75,390,379.01,383.86,3501800
7/15/2010 12:36:00 PM,376.17,384.3,376.1,381.47,3695400
7/15/2010 12:34:00 PM,386.15,390.65,375.89,379.3,4428900
7/15/2010 12:32:00 PM,386.02,399.82,384.81,392.24,10730800
7/15/2010 12:30:00 PM,381.5,392.9,381.02,388.74,10185100
7/15/2010 12:28:00 PM,367.1,381.06,364.16,379.5,4930700
7/15/2010 12:26:00 PM,376.94,376.99,365.6,368.91,3428600
7/15/2010 12:24:00 PM,371.33,379.1,370.3,378.11,3050100
7/15/2010 12:22:00 PM,369.5,374.35,366.25,372.5,3382600
7/15/2010 12:20:00 PM,363.5,365,356.21,362,2765200
7/15/2010 12:18:00 PM,362.6,363.75,355.31,358.65,3680100
7/15/2010 12:16:00 PM,367,369.82,361.4,368.24,3280300
7/15/2010 12:14:00 PM,364.5,371.72,358,369.78,3789800
7/15/2010 12:12:00 PM,363.31,369.76,360.32,362.5,4488000
7/15/2010 12:10:00 PM,343.78,355.24,340.61,354.09,3301200
7/15/2010 12:08:00 PM,348.93,353.51,346.18,348.06,3655300
7/15/2010 12:06:00 PM,342.55,343.81,336.05,342.69,3094100
7/15/2010 12:04:00 PM,350,352,345.47,347.7,3322800
7/15/2010 12:02:00 PM,353.13,359.16,348.5,353.29,6003300
7/15/2010 12:00:00 PM,350.4,351.34,336.25,344.07,4336300
7/15/2010 11:58:00 AM,346.5,353.84,344,347.17,3820000
7/15/2010 11:56:00 AM,333.56,349.45,333.03,348.6,4271500
7/15/2010 11:54:00 AM,330.3,332.99,326.34,330.16,4737900
7/15/2010 11:52:00 AM,331.68,336,327.38,329.94,4111200
